PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
3000000,5,5000.0,1.0,2.0
480000,3,,7.0,3.0
820000,4,,10.0,1.0
385000,2,800.0,8.0,3.0
709999,4,,10.0,1.0
699000,3,1500.0,10.0,1.0
649000,3,1400.0,3.0,0.0
529000,3,1618.0,2.0,2.0
325000,2,750.0,4.0,3.0
999000,3,1392.0,3.0,1.0
160000,3,1064.0,10.0,1.0
3895000,3,1884.0,4.0,0.0
699000,1,,3.0,3.0
615000,3,1165.0,12.0,0.0
249000,2,800.0,11.0,3.0
1290000,3,1998.0,3.0,2.0
850000,4,2375.0,2.0,4.0
588000,3,1140.0,2.0,1.0
1790000,4,,10.0,1.0
1175000,9,,10.0,4.0
579000,4,,11.0,1.0
249000,1,850.0,7.0,3.0
2480000,3,3600.0,10.0,1.0
